ship,shippingFirm,passengers,vehicles,position,seatNumber,discount,gender,index,fromHarbor,toHarbor,price,departureDate,departureTime,arrivalTime,birth_date,nationality,phone_number,firstName,lastName,email,cardNumber,creditName,creditSurame,creditExpiration
ANDROS_JET,KERKYRAIKES_GRAMMES,6.0,1.0,Aviation_Seat_[ATS],155.0,Three_Children,M,19,***,***,10.0-20.0,2015-2023,0**,19*,1980-1984,***,7**,***,***,***,GB*,***,***,11*
ARIADNI,NOVA_FERRIES,4.0,3.0,Cabin-4_Beds_[A4K],444.0,Having_many_children,F,20,***,***,20.0-30.0,2015-2023,2**,19*,2000-2004,***,(**,***,***,***,GB*,***,***,05*
WORLDCHAMPION_JET,NOVA_FERRIES,6.0,3.0,Deck/Living_Room_[D]_,397.0,Hoplites,M,21,***,***,50.0-60.0,2000-2004,2**,19*,1995-1999,***,4**,***,***,***,GB*,***,***,12*
ARIADNI,IONION_PELAGOS_NE,1.0,2.0,Cabin-2_Beds_[A2K],304.0,No_discount,M,22,***,***,30.0-40.0,1970-1974,1**,19*,1995-1999,***,1**,***,***,***,GB*,***,***,10*
KALYMNOS_DOLPHIN,MINOAN_LINES,7.0,3.0,Cabin-4_Beds_(Ext.)_[A4],359.0,Three_Children,M,23,***,***,20.0-30.0,1990-1994,1**,19*,1980-1984,***,0**,***,***,***,GB*,***,***,05*
SUPER_STAR,GOUTOS_LINES,9.0,1.0,Cabin-4_Beds_(Ext.)_[A4],35.0,Having_many_children,M,24,***,***,50.0-60.0,1990-1994,1**,19*,2000-2004,***,5**,***,***,***,GB*,***,***,12*
HSC_CAT,KATEROS,3.0,2.0,Cabin-3_Beds_[AB3],132.0,Retired_NAT,F,25,***,***,80.0-90.0,1970-1974,0**,19*,1985-1989,***,0**,***,***,***,GB*,***,***,03*
FLYINGCAT_3,TWOWAY_FERRIES,7.0,7.0,Cabin-2_Beds_(Ext.)_[AA2],327.0,No_discount,F,26,***,***,70.0-80.0,1990-1994,1**,19*,1995-1999,***,(**,***,***,***,GB*,***,***,09*
Η/S/F_KYDON_PALACΕ,TRITON_FERRIES,3.0,1.0,Cabin-2_Beds_[A2K],270.0,Hoplites,F,27,***,***,20.0-30.0,2005-2009,1**,19*,1980-1984,***,6**,***,***,***,GB*,***,***,02*
STAVROS,FAST_FERRIES,2.0,2.0,Cabin-4_Beds_[A4K],329.0,No_discount,F,28,***,***,90.0-100.0,1990-1994,2**,19*,1975-1979,***,8**,***,***,***,GB*,***,***,03*
ATHINA,SAOS,7.0,4.0,Cabin-4_Beds_[AB4],404.0,Having_many_children,M,29,***,***,40.0-50.0,1970-1974,0**,19*,2000-2004,***,(**,***,***,***,GB*,***,***,02*
ALKINOOS,ANE_KALYMNOU,10.0,2.0,Cabin-4_Beds_[A4K],86.0,College_Student,M,30,***,***,30.0-40.0,2015-2023,0**,19*,2000-2004,***,0**,***,***,***,GB*,***,***,03*
SEAJET2,SARONIC_FERRIES,10.0,6.0,Cabin-4_Beds_[A4K],37.0,Three_Children,F,31,***,***,20.0-30.0,1970-1974,1**,19*,2000-2004,***,5**,***,***,***,GB*,***,***,06*
BLUE_STAR_PATMOS,KARISTIA,3.0,1.0,Cabin-3_Beds_[AB3],268.0,Retired_NAT,F,32,***,***,90.0-100.0,2010-2014,0**,19*,1980-1984,***,8**,***,***,***,GB*,***,***,05*
AQUA_BLUE,DODEKANISSOS_SEAWAYS,1.0,1.0,Cabin-2_Beds_(Ext.)_[AA2],228.0,Having_many_children,F,33,***,***,40.0-50.0,2015-2023,1**,19*,1970-1974,***,6**,***,***,***,GB*,***,***,08*
KERKYRA_EXPRESS,SEBECO_LINES,1.0,2.0,Cabin-4_Beds_[AB4],442.0,Hoplites,F,34,***,***,80.0-90.0,2015-2023,0**,19*,1990-1994,***,(**,***,***,***,GB*,***,***,09*
F/B_ΕLYROS,ALPHA_LINES,3.0,2.0,Cabin-3_Beds_(Ext.)_[A3],364.0,No_discount,F,35,***,***,90.0-100.0,1975-1979,1**,19*,1985-1989,***,7**,***,***,***,GB*,***,***,06*
THUNDER,GOUTOS_LINES,10.0,8.0,Cabin-4_Beds_[A4K],292.0,Hoplites,F,36,***,***,50.0-60.0,2015-2023,1**,19*,2000-2004,***,8**,***,***,***,GB*,***,***,01*
HIGH_SPEED_JET,SEBECO_LINES,3.0,4.0,Cabin-4_Beds_[A4K],86.0,Having_many_children,M,37,***,***,70.0-80.0,1990-1994,2**,19*,2000-2004,***,(**,***,***,***,GB*,***,***,06*
ANTIGONI,ZANTE_FERRIES_,3.0,3.0,Cabin-4_Beds_[AB4],21.0,Hoplites,M,38,***,***,20.0-30.0,1990-1994,0**,19*,1975-1979,***,0**,***,***,***,GB*,***,***,04*
SUPERFAST_I,NOVA_FERRIES,9.0,5.0,Deck/Living_Room_[D]_,346.0,Three_Children,F,39,***,***,10.0-20.0,2015-2023,1**,19*,2000-2004,***,+**,***,***,***,GB*,***,***,01*
Η/S/F_KNOSSOS_PALACΕ,MINOAN_LINES,3.0,1.0,Aviation_Seat_[ATS],321.0,Three_Children,F,40,***,***,20.0-30.0,2015-2023,0**,19*,1970-1974,***,1**,***,***,***,GB*,***,***,03*
KALYMNOS_DOLPHIN,KARISTIA,2.0,3.0,Cabin-3_Beds_[AB3],305.0,Having_many_children,F,41,***,***,20.0-30.0,1990-1994,2**,19*,1985-1989,***,7**,***,***,***,GB*,***,***,09*
SIMI,SARONIC_FERRIES,8.0,3.0,Cabin-3_Beds_(Ext.)_[A3],322.0,Having_many_children,F,42,***,***,40.0-50.0,2005-2009,0**,19*,2000-2004,***,3**,***,***,***,GB*,***,***,12*
CONTESSA_DI_LEVANTE,SEBECO_LINES,4.0,4.0,Cabin-4_Beds_[AB4],416.0,Hoplites,F,43,***,***,70.0-80.0,2010-2014,2**,19*,1970-1974,***,2**,***,***,***,GB*,***,***,12*
F/B_KIDON,AEGEAN_FLYING_DOLPHINS,9.0,4.0,Cabin-4_Beds_[AB4],288.0,Hoplites,M,44,***,***,70.0-80.0,2010-2014,1**,19*,1985-1989,***,+**,***,***,***,GB*,***,***,05*
MARMARI_EXPRESS,KATEROS,9.0,6.0,Cabin-4_Beds_(Ext.)_[A4],251.0,Three_Children,M,45,***,***,90.0-100.0,2005-2009,0**,19*,2000-2004,***,(**,***,***,***,GB*,***,***,12*
Η/S/F_KYDON_PALACΕ,ANES_FERRIES,8.0,9.0,Cabin-4_Beds_[A4K],15.0,College_Student,F,46,***,***,30.0-40.0,1980-1984,0**,19*,1995-1999,***,0**,***,***,***,GB*,***,***,02*
AGIA_THEODORA,DODEKANISSOS_SEAWAYS,3.0,4.0,Cabin-2_Beds_(Ext.)_[AA2],51.0,Hoplites,M,47,***,***,80.0-90.0,2005-2009,0**,19*,1990-1994,***,7**,***,***,***,GB*,***,***,09*
MENEKRATIS,ZANTE_FERRIES_,3.0,4.0,Cabin-4_Beds_(Ext.)_[A4],347.0,Hoplites,M,48,***,***,80.0-90.0,1990-1994,1**,19*,1985-1989,***,6**,***,***,***,GB*,***,***,04*
FIOR_DI_LEVANTE,MINOAN_LINES,6.0,5.0,Cabin-4_Beds_[A4K],189.0,Three_Children,M,49,***,***,70.0-80.0,1975-1979,2**,19*,1995-1999,***,6**,***,***,***,GB*,***,***,07*
DODEKANISOS_PRIDE,AGIA_MARINI_NE,1.0,1.0,Cabin-4_Beds_[A4K],326.0,Having_many_children,F,50,***,***,30.0-40.0,1980-1984,1**,19*,1990-1994,***,3**,***,***,***,GB*,***,***,02*
MARE_DI_LEVANTE,MIKRES_KYKLADES,8.0,9.0,Cabin-4_Beds_[AB4],410.0,College_Student,M,51,***,***,30.0-40.0,2015-2023,2**,19*,1995-1999,***,+**,***,***,***,GB*,***,***,03*
SEMPEKO,DODEKANISSOS_SEAWAYS,2.0,2.0,Cabin-3_Beds_[AB3],38.0,Three_Children,F,52,***,***,40.0-50.0,2005-2009,1**,19*,1975-1979,***,8**,***,***,***,GB*,***,***,07*
MASTERJET,GOUTOS_LINES,5.0,5.0,Deck/Living_Room_[D]_,126.0,Having_many_children,F,53,***,***,50.0-60.0,1985-1989,0**,19*,1970-1974,***,4**,***,***,***,GB*,***,***,06*
F/B_PORFYROUSA,TWOWAY_FERRIES,9.0,10.0,Cabin-3_Beds_[AB3],388.0,Having_many_children,F,54,***,***,50.0-60.0,2005-2009,1**,19*,1980-1984,***,9**,***,***,***,GB*,***,***,03*
FIOR_DI_LEVANTE,AEGEAN_FLYING_DOLPHINS,5.0,2.0,Deck/Living_Room_[D]_,362.0,Hoplites,M,55,***,***,40.0-50.0,1975-1979,1**,19*,1990-1994,***,6**,***,***,***,GB*,***,***,04*
Η/S/F_KYDON_PALACΕ,LEBANTE_FERRIES,5.0,3.0,Cabin-3_Beds_[AB3],146.0,No_discount,M,56,***,***,60.0-70.0,1990-1994,0**,19*,1995-1999,***,+**,***,***,***,GB*,***,***,05*
MARE_DI_LEVANTE,ΑΤΤΙCA_GROUP,3.0,2.0,Cabin-2_Beds_(Ext.)_[A2],110.0,Having_many_children,F,57,***,***,50.0-60.0,1970-1974,0**,19*,1985-1989,***,6**,***,***,***,GB*,***,***,12*
AERO_2_HIGHSPEED,TWOWAY_FERRIES,6.0,6.0,Cabin-4_Beds_(Ext.)_[A4],337.0,Having_many_children,M,58,***,***,80.0-90.0,1975-1979,0**,19*,2000-2004,***,3**,***,***,***,GB*,***,***,01*
ANTIGONI,FAST_FERRIES,4.0,5.0,Cabin-4_Beds_(Ext.)_[A4],307.0,Hoplites,M,59,***,***,30.0-40.0,2005-2009,0**,19*,1980-1984,***,0**,***,***,***,GB*,***,***,11*
FLYING_DOLPHIN_19,SEBECO_LINES,9.0,9.0,Cabin-4_Beds_[AB4],232.0,College_Student,F,60,***,***,10.0-20.0,1970-1974,0**,19*,1985-1989,***,7**,***,***,***,GB*,***,***,11*
MAKEDON,AEGEAN_FLYING_DOLPHINS,9.0,6.0,Aviation_Seat_[ATS],315.0,Hoplites,M,61,***,***,20.0-30.0,2010-2014,0**,19*,1995-1999,***,8**,***,***,***,GB*,***,***,05*
BLUE_STAR_NAXOS,ANEK_LINES,10.0,3.0,Cabin-2_Beds_(Ext.)_[AA2],139.0,Retired_NAT,F,62,***,***,40.0-50.0,2000-2004,2**,19*,2000-2004,***,0**,***,***,***,GB*,***,***,02*
AQUA_JEWEL,ANEK_LINES,8.0,5.0,Cabin-2_Beds_(Ext.)_[A2],441.0,Hoplites,M,63,***,***,60.0-70.0,1970-1974,1**,19*,1980-1984,***,(**,***,***,***,GB*,***,***,05*
FLYING_DOLPHIN_17,KERKYRAIKES_GRAMMES,8.0,5.0,Cabin-4_Beds_[AB4],18.0,Hoplites,F,64,***,***,10.0-20.0,2010-2014,0**,19*,1990-1994,***,(**,***,***,***,GB*,***,***,03*
F/B_ΕLYROS,ANES_FERRIES,5.0,6.0,Cabin-2_Beds_(Ext.)_[AA2],105.0,Hoplites,F,65,***,***,40.0-50.0,1995-1999,1**,19*,1985-1989,***,(**,***,***,***,GB*,***,***,06*
DODEKANISOS_PRIDE,SEA_SPEED_FERRIES,8.0,6.0,Cabin-4_Beds_(Ext.)_[A4],259.0,Having_many_children,M,66,***,***,30.0-40.0,2005-2009,0**,19*,1985-1989,***,+**,***,***,***,GB*,***,***,01*
FAST_FERRIES_ANDROS,AGIA_MARINI_NE,4.0,5.0,Cabin-3_Beds_[AB3],169.0,Three_Children,M,67,***,***,20.0-30.0,1990-1994,1**,19*,1980-1984,***,+**,***,***,***,GB*,***,***,10*
APOLLON_HELLAS,SARONIC_FERRIES,9.0,2.0,Cabin-4_Beds_[A4K],67.0,Three_Children,F,68,***,***,80.0-90.0,2015-2023,2**,19*,1980-1984,***,7**,***,***,***,GB*,***,***,01*
BLUE_STAR_PAROS,AEGEAN_FLYING_DOLPHINS,9.0,2.0,Cabin-2_Beds_(Ext.)_[A2],227.0,Retired_NAT,F,69,***,***,60.0-70.0,2010-2014,1**,19*,1990-1994,***,+**,***,***,***,GB*,***,***,04*
F/B_ELEFTHERIOS_VENIZELOS,SAOS,5.0,2.0,Aviation_Seat_[ATS],262.0,Three_Children,F,70,***,***,30.0-40.0,2010-2014,0**,19*,2000-2004,***,3**,***,***,***,GB*,***,***,02*
EKATERINI_P,SEAJETS,5.0,2.0,Cabin-2_Beds_(Ext.)_[A2],434.0,Three_Children,F,71,***,***,90.0-100.0,2015-2023,1**,19*,1985-1989,***,0**,***,***,***,GB*,***,***,02*
FIOR_DI_LEVANTE,SEAJETS,6.0,2.0,Cabin-4_Beds_(Ext.)_[A4],475.0,College_Student,F,72,***,***,40.0-50.0,2000-2004,0**,19*,2000-2004,***,2**,***,***,***,GB*,***,***,11*
FLYINGCAT_6,TRITON_FERRIES,5.0,3.0,Cabin-3_Beds_(Ext.)_[A3],479.0,Having_many_children,M,73,***,***,80.0-90.0,2015-2023,0**,19*,1980-1984,***,2**,***,***,***,GB*,***,***,05*
KERKYRA_EXPRESS,KATEROS,7.0,6.0,Cabin-3_Beds_(Ext.)_[A3],20.0,No_discount,M,74,***,***,80.0-90.0,2005-2009,1**,19*,1980-1984,***,7**,***,***,***,GB*,***,***,10*
F/B_KRITI_I,AGIA_MARINI_NE,4.0,4.0,Cabin-4_Beds_[AB4],164.0,Having_many_children,M,75,***,***,40.0-50.0,1980-1984,0**,19*,1985-1989,***,9**,***,***,***,GB*,***,***,03*
AGIA_THEODORA,TWOWAY_FERRIES,1.0,1.0,Cabin-3_Beds_[AB3],259.0,Having_many_children,F,76,***,***,20.0-30.0,1990-1994,0**,19*,2000-2004,***,9**,***,***,***,GB*,***,***,01*
Η/S/F_FESTOS_PALACΕ,ANEK_LINES,8.0,8.0,Deck/Living_Room_[D]_,307.0,College_Student,M,77,***,***,30.0-40.0,2015-2023,1**,19*,1970-1974,***,4**,***,***,***,GB*,***,***,11*
SUPERJET,ZANTE_FERRIES_,7.0,5.0,Aviation_Seat_[ATS],114.0,College_Student,F,78,***,***,40.0-50.0,2005-2009,1**,19*,1995-1999,***,0**,***,***,***,GB*,***,***,04*
SMYRNA_DI_LEVANTE,SARONIC_FERRIES,3.0,1.0,Cabin-4_Beds_[A4K],340.0,College_Student,M,79,***,***,60.0-70.0,1970-1974,0**,19*,1985-1989,***,(**,***,***,***,GB*,***,***,04*
VENUS_1,SEAJETS,6.0,2.0,Cabin-2_Beds_[A2K],149.0,Having_many_children,M,80,***,***,10.0-20.0,1995-1999,1**,19*,1985-1989,***,1**,***,***,***,GB*,***,***,01*
PROTEAS,SEBECO_LINES,6.0,6.0,Cabin-4_Beds_[A4K],146.0,No_discount,M,81,***,***,20.0-30.0,1975-1979,0**,19*,1995-1999,***,8**,***,***,***,GB*,***,***,08*
SPEEDCAT_1,SAOS,1.0,1.0,Cabin-3_Beds_[AB3],388.0,Three_Children,M,82,***,***,10.0-20.0,1990-1994,1**,19*,2000-2004,***,+**,***,***,***,GB*,***,***,10*
AGIA_THEODORA,AGIA_MARINI_NE,4.0,1.0,Aviation_Seat_[ATS],236.0,No_discount,F,83,***,***,30.0-40.0,1985-1989,2**,19*,1985-1989,***,2**,***,***,***,GB*,***,***,03*
F/B_PORFYROUSA,ALPHA_LINES,3.0,3.0,Cabin-2_Beds_[A2K],39.0,Having_many_children,M,84,***,***,20.0-30.0,1995-1999,2**,19*,2000-2004,***,(**,***,***,***,GB*,***,***,11*
ANDROS_JET,DODEKANISSOS_SEAWAYS,1.0,1.0,Aviation_Seat_[ATS],295.0,Hoplites,F,85,***,***,80.0-90.0,1970-1974,1**,19*,1975-1979,***,3**,***,***,***,GB*,***,***,07*
ARTEMIS,IONION_PELAGOS_NE,3.0,3.0,Cabin-2_Beds_(Ext.)_[A2],227.0,Retired_NAT,M,86,***,***,40.0-50.0,2010-2014,0**,19*,1970-1974,***,0**,***,***,***,GB*,***,***,12*
EKATERINI_P,ΑΤΤΙCA_GROUP,6.0,3.0,Cabin-3_Beds_[AB3],7.0,Retired_NAT,M,87,***,***,90.0-100.0,1995-1999,1**,19*,1995-1999,***,4**,***,***,***,GB*,***,***,04*
AERO_1_HIGHSPEED,AEGEAN_FLYING_DOLPHINS,2.0,2.0,Cabin-4_Beds_[A4K],254.0,Having_many_children,M,88,***,***,30.0-40.0,1980-1984,2**,19*,1975-1979,***,0**,***,***,***,GB*,***,***,05*
AERO_1_HIGHSPEED,FAST_FERRIES,1.0,1.0,Cabin-3_Beds_(Ext.)_[A3],221.0,No_discount,M,89,***,***,10.0-20.0,1995-1999,0**,19*,1985-1989,***,(**,***,***,***,GB*,***,***,01*
H/S/F_OLYMPIC_CHAMPION,KATEROS,6.0,7.0,Cabin-4_Beds_(Ext.)_[A4],383.0,College_Student,M,90,***,***,20.0-30.0,1995-1999,0**,19*,1990-1994,***,(**,***,***,***,GB*,***,***,08*
CORFU_SPIRIT,NOVA_FERRIES,10.0,6.0,Cabin-4_Beds_[A4K],160.0,Having_many_children,M,91,***,***,70.0-80.0,2010-2014,0**,19*,1990-1994,***,1**,***,***,***,GB*,***,***,07*
CONTESSA_DI_LEVANTE,ANES_FERRIES,2.0,2.0,Aviation_Seat_[ATS],467.0,College_Student,M,92,***,***,80.0-90.0,2005-2009,1**,19*,1995-1999,***,(**,***,***,***,GB*,***,***,09*
NISOS_KALIMNOS,SEA_SPEED_FERRIES,3.0,4.0,Cabin-2_Beds_(Ext.)_[A2],466.0,No_discount,F,93,***,***,80.0-90.0,2015-2023,0**,19*,1990-1994,***,2**,***,***,***,GB*,***,***,05*
ANDREAS_KALVOS,SEBECO_LINES,6.0,5.0,Aviation_Seat_[ATS],408.0,Retired_NAT,M,94,***,***,70.0-80.0,1980-1984,1**,19*,2000-2004,***,(**,***,***,***,GB*,***,***,01*
HSC_CAT,KARISTIA,5.0,1.0,Cabin-4_Beds_[AB4],441.0,College_Student,M,95,***,***,60.0-70.0,1995-1999,1**,19*,1970-1974,***,(**,***,***,***,GB*,***,***,04*
ACHAIOS,NOVA_FERRIES,10.0,4.0,Cabin-2_Beds_(Ext.)_[AA2],233.0,Hoplites,F,96,***,***,40.0-50.0,2010-2014,0**,19*,2000-2004,***,5**,***,***,***,GB*,***,***,10*
ADAMANTIOS_KORAIS,ΑΤΤΙCA_GROUP,5.0,3.0,Cabin-4_Beds_(Ext.)_[A4],362.0,No_discount,M,97,***,***,90.0-100.0,1995-1999,0**,19*,1995-1999,***,(**,***,***,***,GB*,***,***,10*
F/B_IONIS,ΑΤΤΙCA_GROUP,10.0,10.0,Deck/Living_Room_[D]_,39.0,Having_many_children,F,98,***,***,40.0-50.0,2000-2004,2**,19*,1990-1994,***,3**,***,***,***,GB*,***,***,11*
CHAMPION_JET1,MIKRES_KYKLADES,5.0,3.0,Cabin-2_Beds_(Ext.)_[A2],454.0,College_Student,F,99,***,***,20.0-30.0,1990-1994,1**,19*,1975-1979,***,5**,***,***,***,GB*,***,***,12*
